THETA	SIGMA	ERROR
0	0	0.1
0.0634665	37.935	0.1
0.126933	2.37177	0.1
0.1904	0.46879	0.1
0.253866	0.14847	0.1
0.317333	0.0608969	0.1
0.380799	0.0294241	0.1
0.444266	0.015924	0.1
0.507732	0.00936721	0.1
0.571199	0.00587528	0.1
0.634665	0.00387854	0.1
0.698132	0.00267044	0.1
0.761598	0.00190522	0.1
0.825065	0.00140189	0.1
0.888531	0.00106028	0.1
0.951998	0.000822331	0.1
1.01546	0.000653017	0.1
1.07893	0.000530507	0.1
1.1424	0.0004408	0.1
1.20586	0.000374702	0.1
1.26933	0.000326071	0.1
1.3328	0.00029076	0.1
1.39626	0.000265968	0.1
1.45973	0.000249843	0.1
1.5232	0.000241233	0.1
1.58666	0.00023954	0.1
1.65013	0.000244648	0.1
1.7136	0.000256908	0.1
1.77706	0.000277183	0.1
1.84053	0.000306952	0.1
1.904	0.0003485	0.1
1.96746	0.00040524	0.1
2.03093	0.000482216	0.1
2.0944	0.000586927	0.1
2.15786	0.00073069	0.1
2.22133	0.000930935	0.1
2.28479	0.0012152	0.1
2.34826	0.00162839	0.1
2.41173	0.00224635	0.1
2.47519	0.00320287	0.1
2.53866	0.00474623	0.1
2.60213	0.00736611	0.1
2.66559	0.0121034	0.1
2.72906	0.0213885	0.1
2.79253	0.0416301	0.1
2.85599	0.0927472	0.1
2.91946	0.25315	0.1
2.98293	0.971744	0.1
3.04639	7.49442	0.1
3.10986	606.909	0.1
3.17333	606.909	0.1
3.23679	7.49442	0.1
3.30026	0.971744	0.1
3.36373	0.25315	0.1
3.42719	0.0927472	0.1
3.49066	0.0416301	0.1
3.55413	0.0213885	0.1
3.61759	0.0121034	0.1
3.68106	0.00736611	0.1
3.74452	0.00474623	0.1
3.80799	0.00320287	0.1
3.87146	0.00224635	0.1
3.93492	0.00162839	0.1
3.99839	0.0012152	0.1
4.06186	0.000930935	0.1
4.12532	0.00073069	0.1
4.18879	0.000586927	0.1
4.25226	0.000482216	0.1
4.31572	0.00040524	0.1
4.37919	0.0003485	0.1
4.44266	0.000306952	0.1
4.50612	0.000277183	0.1
4.56959	0.000256908	0.1
4.63306	0.000244648	0.1
4.69652	0.00023954	0.1
4.75999	0.000241233	0.1
4.82346	0.000249843	0.1
4.88692	0.000265968	0.1
4.95039	0.00029076	0.1
5.01385	0.000326071	0.1
5.07732	0.000374702	0.1
5.14079	0.0004408	0.1
5.20425	0.000530507	0.1
5.26772	0.000653017	0.1
5.33119	0.000822331	0.1
5.39465	0.00106028	0.1
5.45812	0.00140189	0.1
5.52159	0.00190522	0.1
5.58505	0.00267044	0.1
5.64852	0.00387854	0.1
5.71199	0.00587528	0.1
5.77545	0.00936721	0.1
5.83892	0.015924	0.1
5.90239	0.0294241	0.1
5.96585	0.0608969	0.1
6.02932	0.14847	0.1
6.09279	0.46879	0.1
6.15625	2.37177	0.1
6.21972	37.935	0.1
6.28319	3.59463e+57	0.1
